P_CODE	REEF	X	Y	clust.bent
MMP	Fitzroy East	146	-16.92	5
MMP	Fitzroy West	146	-16.92	5
MMP	Franklands West	146.09	-17.22	5
MMP	Havannah	146.55	-18.84	6
MMP	High East	146.01	-17.15	5
MMP	High West	146.01	-17.15	5
MMP	Keppels South	150.97	-23.21	6
MMP	King	146.15	-17.76	6
MMP	Middle	150.92	-23.17	6
MMP	North Keppel	150.9	-23.08	6
MMP	Palms East	146.49	-18.57	5
MMP	Palms West	146.49	-18.57	5
MMP	Pandora	146.43	-18.81	6
MMP	Peak	150.94	-23.35	6
MMP	Seaforth	149.04	-20.47	6
MMP	Snapper North	145.5	-16.3	5
MMP	Snapper South	145.5	-16.3	5
RAP	20348S	150.94	-20.88	4
RAP	20353S	150.92	-20.96	4
RAP	21060S	150.59	-21.01	4
RAP	21062S	150.85	-21.03	4
RAP	21064S	150.78	-21.05	4
RAP	21139S	151.47	-21.45	4
RAP	21187S	151.64	-21.41	4
RAP	21245S	152.44	-21.3	4
RAP	21278S	152.54	-21.1	1
RAP	21296S	152.56	-21.33	1
RAP	21302S	152.58	-21.42	1
RAP	21550S	152.31	-21.96	4
RAP	21558S	152.55	-21.54	1
RAP	21591S	150.38	-21.02	4
RAP	22084S	152.46	-22	4
RAP	ARLINGTON REEF	146.11	-16.64	1
RAP	BOULT REEF	152.27	-23.75	3
RAP	CENTIPEDE REEF	147.55	-18.73	4
RAP	ERSKINE REEF	151.77	-23.5	4
RAP	FAIRFAX ISLANDS REEF	152.37	-23.85	3
RAP	FEATHER REEF	146.39	-17.52	4
RAP	FORE AND AFT REEF	147.05	-18.47	4
RAP	FORK REEF	147.57	-18.6	4
RAP	GRUB REEF(18077)	147.43	-18.61	4
RAP	HEDLEY REEF	146.47	-17.22	1
RAP	HELIX REEF	147.3	-18.62	4
RAP	HOSKYN ISLANDS REEF	152.3	-23.8	3
RAP	JENKINS REEF	152.61	-21.95	4
RAP	KELSO REEF	146.98	-18.42	4
RAP	KNIFE REEF	147.58	-18.57	4
RAP	LITTLE KELSO REEF	147	-18.46	4
RAP	LYNCHS REEF	147.72	-18.73	4
RAP	MAST HEAD REEF	151.75	-23.53	4
RAP	MCCULLOCH	146.46	-17.28	1
RAP	MOORE REEF	146.23	-16.85	1
RAP	NORTH REEF (NORTH)	151.91	-23.18	3
RAP	PEART REEF	146.4	-17.47	4
RAP	PENRITH REEF	149.89	-21	4
RAP	POMPEY REEF (NO 1)	150.56	-20.92	4
RAP	POMPEY REEF (NO 2)	150.53	-20.99	4
RAP	ROXBURGH REEF	147.05	-18.43	4
RAP	SMALL LAGOON REEF	152.52	-21.87	4
RAP	TAYLOR REEF	146.57	-17.81	4
RAP	TERN REEF(20309)	150.03	-20.9	4
RAP	WADE REEF	152.65	-21.99	1
RM	19131S	149.37	-19.76	4
RM	19138S	149.42	-19.8	4
RM	20104S	149.69	-20.03	4
RM	21529S	152.18	-21.86	4
RM	AGINCOURT REEFS (NO 1)	145.87	-16.04	2
RM	ARLINGTON REEF	146.11	-16.64	1
RM	BORDER ISLAND REEF (NO 1)	149.03	-20.17	5
RM	BROOMFIELD REEF	151.94	-23.25	3
RM	CARTER REEF	145.58	-14.52	2
RM	CHICKEN REEF	147.72	-18.65	1
RM	CHINAMAN REEF(22102)	152.66	-22	1
RM	DAVIES REEF	147.66	-18.81	4
RM	DIP REEF	147.45	-18.4	1
RM	EAST CAY REEF	152.57	-21.47	1
RM	FITZROY ISLAND REEF	145.99	-16.92	5
RM	GANNETT CAY REEF	152.48	-21.98	4
RM	GREEN ISLAND REEF	145.97	-16.77	4
RM	HASTINGS REEF	146.02	-16.5	1
RM	HAVANNAH REEF	146.54	-18.83	6
RM	HAYMAN ISLAND REEF	148.9	-20.06	5
RM	HORSESHOE	152.62	-22.02	4
RM	HYDE REEF	150.08	-19.74	1
RM	JOHN BREWER REEF	147.08	-18.62	4
RM	LADY MUSGRAVE REEF	152.42	-23.88	3
RM	LANGFORD-BIRD REEF	148.87	-20.08	5
RM	LINNET REEF	145.35	-14.78	5
RM	LIZARD ISLAND	145.46	-14.69	4
RM	LOW ISLANDS REEF	145.57	-16.38	5
RM	MACGILLIVRAY REEF	145.49	-14.65	1
RM	MACKAY REEF	145.65	-16.04	4
RM	MARTIN REEF(14123)	145.37	-14.76	5
RM	MICHAELMAS REEF	146.05	-16.55	1
RM	MIDDLE REEF(19011)	146.81	-19.19	6
RM	MYRMIDON REEF	147.39	-18.25	1
RM	NO NAME REEF	145.65	-14.63	2
RM	NORTH DIRECTION REEF	145.51	-14.75	1
RM	ONE TREE REEF	152.09	-23.48	3
RM	OPAL (2)	145.9	-16.2	2
RM	PANDORA REEF	146.43	-18.81	6
RM	REBE REEF	150.16	-19.79	1
RM	RIB REEF	146.88	-18.47	4
RM	SLATE REEF	149.92	-19.66	1
RM	SNAKE (22088)	152.19	-22.02	4
RM	ST CRISPIN REEF	145.84	-16.07	1
RM	THETFORD REEF	146.2	-16.8	1
RM	TURNER REEF	152.56	-21.7	1
RM	WRECK ISLAND REEF	151.97	-23.32	3
RM	YONGE REEF	145.62	-14.57	2
