P_CODE,REEF_NAME,A_SECTOR,SHELF
RAP,20348S,MK,M
RAP,20353S,MK,M
RAP,21060S,MK,M
RAP,21062S,MK,M
RAP,21064S,MK,M
RAP,21139S,MK,M
RAP,21187S,MK,M
RAP,21245S,SW,M
RAP,21278S,SW,M
RAP,21296S,SW,O
RAP,21302S,SW,O
RAP,21550S,SW,M
RAP,21558S,SW,O
RAP,21591S,MK,M
RAP,22084S,SW,M
RAP,AGINCOURT REEFS (NO 1),CA/IN,O
RAP,ARLINGTON REEF,CA/IN,M
RAP,BOULT REEF,CB,O
RAP,BROOMFIELD REEF,CB,O
RAP,CENTIPEDE REEF,TO,M
RAP,CHICKEN REEF,TO,O
RAP,CHINAMAN REEF(22102),SW,M
RAP,EAST CAY REEF,SW,O
RAP,ERSKINE REEF,CB,O
RAP,FAIRFAX ISLANDS REEF,CB,O
RAP,FEATHER REEF,CA/IN,M
RAP,FORE AND AFT REEF,TO,M
RAP,FORK REEF,TO,O
RAP,GRUB REEF(18077),TO,M
RAP,HASTINGS REEF,CA/IN,M
RAP,HEDLEY REEF,CA/IN,O
RAP,HELIX REEF,TO,M
RAP,HOSKYN ISLANDS REEF,CB,O
RAP,JENKINS REEF,SW,M
RAP,KELSO REEF,TO,M
RAP,KNIFE REEF,TO,O
RAP,LADY MUSGRAVE REEF,CB,O
RAP,LITTLE KELSO REEF,TO,M
RAP,LYNCHS REEF,TO,M
RAP,MAST HEAD REEF,CB,O
RAP,MCCULLOCH,CA/IN,M
RAP,MOORE REEF,CA/IN,M
RAP,NORTH REEF (NORTH),CB,O
RAP,PEART REEF,CA/IN,M
RAP,PENRITH REEF,MK,M
RAP,POMPEY REEF (NO 1),MK,M
RAP,POMPEY REEF (NO 2),MK,M
RAP,RIB REEF,TO,M
RAP,ROXBURGH REEF,TO,M
RAP,SMALL LAGOON REEF,SW,M
RAP,ST CRISPIN REEF,CA/IN,O
RAP,TAYLOR REEF,CA/IN,M
RAP,TERN REEF(20309),MK,M
RAP,THETFORD REEF,CA/IN,M
RAP,WADE REEF,SW,M
RM,19131S,WH,M
RM,19138S,WH,M
RM,20104S,WH,M
RM,21529S,SW,M
RM,AGINCOURT REEFS (NO 1),CA,O
RM,BORDER ISLAND REEF (NO 1),WH,I
RM,BROOMFIELD REEF,CB,O
RM,CARTER REEF,CL,O
RM,CHICKEN REEF,TO,O
RM,CHINAMAN REEF(22102),SW,M
RM,DAVIES REEF,TO,M
RM,DIP REEF,TO,O
RM,EAST CAY REEF,SW,O
RM,FEATHER REEF,IN,M
RM,FITZROY ISLAND REEF,CA,I
RM,GANNETT CAY REEF,SW,M
RM,GREEN ISLAND REEF,CA,I
RM,HASTINGS REEF,CA,M
RM,HAVANNAH REEF,TO,I
RM,HAYMAN ISLAND REEF,WH,I
RM,HORSESHOE,SW,M
RM,HYDE REEF,WH,O
RM,JOHN BREWER REEF,TO,M
RM,LADY MUSGRAVE REEF,CB,O
RM,LANGFORD-BIRD REEF,WH,I
RM,LINNET REEF,CL,I
RM,LIZARD ISLAND,CL,M
RM,LOW ISLANDS REEF,CA,I
RM,MACGILLIVRAY REEF,CL,M
RM,MACKAY REEF,CA,M
RM,MARTIN REEF(14123),CL,I
RM,MICHAELMAS REEF,CA,M
RM,MIDDLE REEF(19011),TO,I
RM,MYRMIDON REEF,TO,O
RM,NO NAME REEF,CL,O
RM,NORTH DIRECTION REEF,CL,M
RM,ONE TREE REEF,CB,O
RM,OPAL (2),CA,O
RM,PANDORA REEF,TO,I
RM,PINE PEAK REEF,PO,I
RM,PRUDHOE ISLAND REEF,PO,I
RM,REBE REEF,WH,O
RM,RIB REEF,TO,M
RM,SLATE REEF,WH,O
RM,SNAKE (22088),SW,M
RM,SOUTH PERCY ISLAND,PO,I
RM,ST CRISPIN REEF,CA,O
RM,TAYLOR REEF,IN,M
RM,THETFORD REEF,CA,M
RM,TURNER REEF,SW,O
RM,WRECK ISLAND REEF,CB,O
RM,YONGE REEF,CL,O
