author,station,section,lat,long,bottomdepth,Location,date,time,date
Alongi et al 2014,IS9,inshore,-20.9517,149.08,5,north of Shoal Point in Sand Bay,01-18/04/2009,8-9h30,9/04/2009
Alongi et al 2014,IS10,inshore,-21.495,149.4433,5,near Cape Palmerston in Ince Bay,01-18/04/2009,8-9h30,9/04/2009
Alongi et al 2014,MS7,midshelf,-20.625,149.7217,49,"lagoon, south of Parker Reef",01-18/04/2009,8-9h30,9/04/2009
Alongi et al 2014,MS8,midshelf,-21.3183,150.3033,55,"lagoon, southwest of Pompey Reef",01-18/04/2009,8-9h30,9/04/2009
Alongi et al 2014,BR1,midshelf,-20.49,150.075,44,"within the lagoon formed by Box, Stevens, Credlin, Cannan, and Nixon Reefs",01-18/04/2009,8-9h30,9/04/2009
Alongi et al 2014,GR1,midshelf,-20.765,150.3733,42,"lagoon enclosed by Chavel, Goble, Cole, Briggs, and McIntyre Reefs",01-18/04/2009,8-9h30,9/04/2009
Alongi et al 2014,PR1,midshelf,-21.0317,150.4133,37,on the northern leeward side of Pompey Reef,01-18/04/2009,8-9h30,9/04/2009
Alongi et al 2014,PRC4,outershelf,-20.435,150.5267,65,"within the outer lagoon of the greater Pompey Reef complex, in close proximity to channels formed between the outer shelf reefs.",01-18/04/2009,8-9h30,9/04/2009
Alongi et al 2014,PRC5,outershelf,-20.6233,150.67,56,"within the outer lagoon of the greater Pompey Reef complex, in close proximity to channels formed between the outer shelf reefs.",01-18/04/2009,8-9h30,9/04/2009
Alongi et al 2014,PRC6,outershelf,-20.74,150.8017,57,"within the outer lagoon of the greater Pompey Reef complex, in close proximity to channels formed between the outer shelf reefs.",01-18/04/2009,8-9h30,9/04/2009
Alongi et al 2014,OS1,outershelf,-20.2033,150.5717,60,open ocean side of the Pompey Reef channels,01-18/04/2009,8-9h30,9/04/2009
Alongi et al 2014,OS2,outershelf,-20.44,150.7717,56,open ocean side of the Pompey Reef channels,01-18/04/2009,8-9h30,9/04/2009
Alongi et al 2014,SB13,shelfbreak,-20.015,150.7433,150,shelf break,01-18/04/2009,8-9h30,9/04/2009
Alongi et al 2014,SB14,shelfbreak,-20.225,150.9033,163,shelf break,01-18/04/2009,8-9h30,9/04/2009
Alongi et al 2014,IS9,inshore,-20.9517,149.08,5,north of Shoal Point in Sand Bay,6-26/09/2009,8-9h30,16/09/2009
Alongi et al 2014,IS10,inshore,-21.495,149.4433,5,near Cape Palmerston in Ince Bay,6-26/09/2009,8-9h30,16/09/2009
Alongi et al 2014,MS7,midshelf,-20.625,149.7217,49,"lagoon, south of Parker Reef",6-26/09/2009,8-9h30,16/09/2009
Alongi et al 2014,MS8,midshelf,-21.3183,150.3033,55,"lagoon, southwest of Pompey Reef",6-26/09/2009,8-9h30,16/09/2009
Alongi et al 2014,BR1,midshelf,-20.49,150.075,44,"within the lagoon formed by Box, Stevens, Credlin, Cannan, and Nixon Reefs",6-26/09/2009,8-9h30,16/09/2009
Alongi et al 2014,GR1,midshelf,-20.765,150.3733,42,"lagoon enclosed by Chavel, Goble, Cole, Briggs, and McIntyre Reefs",6-26/09/2009,8-9h30,16/09/2009
Alongi et al 2014,PR1,midshelf,-21.0317,150.4133,37,on the northern leeward side of Pompey Reef,6-26/09/2009,8-9h30,16/09/2009
Alongi et al 2014,PRC4,outershelf,-20.435,150.5267,65,"within the outer lagoon of the greater Pompey Reef complex, in close proximity to channels formed between the outer shelf reefs.",6-26/09/2009,8-9h30,16/09/2009
Alongi et al 2014,PRC5,outershelf,-20.6233,150.67,56,"within the outer lagoon of the greater Pompey Reef complex, in close proximity to channels formed between the outer shelf reefs.",6-26/09/2009,8-9h30,16/09/2009
Alongi et al 2014,PRC6,outershelf,-20.74,150.8017,57,"within the outer lagoon of the greater Pompey Reef complex, in close proximity to channels formed between the outer shelf reefs.",6-26/09/2009,8-9h30,16/09/2009
Alongi et al 2014,OS1,outershelf,-20.2033,150.5717,60,open ocean side of the Pompey Reef channels,6-26/09/2009,8-9h30,16/09/2009
Alongi et al 2014,OS2,outershelf,-20.44,150.7717,56,open ocean side of the Pompey Reef channels,6-26/09/2009,8-9h30,16/09/2009
Alongi et al 2014,SB13,shelfbreak,-20.015,150.7433,150,shelf break,6-26/09/2009,8-9h30,16/09/2009
Alongi et al 2014,SB14,shelfbreak,-20.225,150.9033,163,shelf break,6-26/09/2009,8-9h30,16/09/2009
Alongi et al 2014,IS9,inshore,-20.9517,149.08,5,north of Shoal Point in Sand Bay, 1-17/02/2010,8-9h30,9/02/2010
Alongi et al 2014,IS10,inshore,-21.495,149.4433,5,near Cape Palmerston in Ince Bay, 1-17/02/2010,8-9h30,9/02/2010
Alongi et al 2014,MS7,midshelf,-20.625,149.7217,49,"lagoon, south of Parker Reef", 1-17/02/2010,8-9h30,9/02/2010
Alongi et al 2014,MS8,midshelf,-21.3183,150.3033,55,"lagoon, southwest of Pompey Reef", 1-17/02/2010,8-9h30,9/02/2010
Alongi et al 2014,PRC4,outershelf,-20.435,150.5267,65,"within the outer lagoon of the greater Pompey Reef complex, in close proximity to channels formed between the outer shelf reefs.", 1-17/02/2010,8-9h30,9/02/2010
Alongi et al 2014,PRC5,outershelf,-20.6233,150.67,56,"within the outer lagoon of the greater Pompey Reef complex, in close proximity to channels formed between the outer shelf reefs.", 1-17/02/2010,8-9h30,9/02/2010
Alongi et al 2014,PRC6,outershelf,-20.74,150.8017,57,"within the outer lagoon of the greater Pompey Reef complex, in close proximity to channels formed between the outer shelf reefs.", 1-17/02/2010,8-9h30,9/02/2010
Alongi et al 2014,OS1,outershelf,-20.2033,150.5717,60,open ocean side of the Pompey Reef channels, 1-17/02/2010,8-9h30,9/02/2010
Alongi et al 2014,OS2,outershelf,-20.44,150.7717,56,open ocean side of the Pompey Reef channels, 1-17/02/2010,8-9h30,9/02/2010
Alongi et al 2014,SB13,shelfbreak,-20.015,150.7433,150,shelf break, 1-17/02/2010,8-9h30,9/02/2010
Alongi et al 2014,SB14,shelfbreak,-20.225,150.9033,163,shelf break, 1-17/02/2010,8-9h30,9/02/2010
Angly et al 2016,FI,inshore,-16.92,145.997,,Australia: Queensland: Fitzroy island,11/02/2011,,11/02/2011
Angly et al 2016,FI,inshore,-16.92,145.997,,Australia: Queensland: Fitzroy island,21/06/2013,,21/06/2013
Angly et al 2016,FI,inshore,-16.92,145.997,,Australia: Queensland: Fitzroy island,19/02/2012,,19/02/2012
Angly et al 2016,FI,inshore,-16.92,145.997,,Australia: Queensland: Fitzroy island,17/02/2013,,17/02/2013
Angly et al 2016,FI,inshore,-16.92,145.997,,Australia: Queensland: Fitzroy island,11/10/2012,,11/10/2012
Angly et al 2016,FI,inshore,-16.92,145.997,,Australia: Queensland: Fitzroy island,22/06/2011,,22/06/2011
Angly et al 2016,FI,inshore,-16.92,145.997,,Australia: Queensland: Fitzroy island,11/10/2013,,11/10/2013
Angly et al 2016,FI,inshore,-16.92,145.997,,Australia: Queensland: Fitzroy island,9/06/2012,,9/06/2012
Angly et al 2016,RI,inshore,-17.226,146.087,,Australia: Queensland: Russel island,18/02/2012,,18/02/2012
Angly et al 2016,RI,inshore,-17.226,146.087,,Australia: Queensland: Russel island,21/06/2013,,21/06/2013
Angly et al 2016,RI,inshore,-17.226,146.087,,Australia: Queensland: Russel island,11/10/2013,,11/10/2013
Angly et al 2016,RI,inshore,-17.226,146.087,,Australia: Queensland: Russel island,9/06/2012,,9/06/2012
Angly et al 2016,RI,inshore,-17.226,146.087,,Australia: Queensland: Russel island,17/02/2013,,17/02/2013
Angly et al 2016,RI,inshore,-17.226,146.087,,Australia: Queensland: Russel island,23/06/2011,,23/06/2011
Angly et al 2016,RI,inshore,-17.226,146.087,,Australia: Queensland: Russel island,23/06/2011,,23/06/2011
Angly et al 2016,RI,inshore,-17.226,146.087,,Australia: Queensland: Russel island,11/02/2011,,11/02/2011
Angly et al 2016,RI,inshore,-17.226,146.087,,Australia: Queensland: Russel island,11/10/2012,,11/10/2012
Angly et al 2016,TT4,lagoon,-17.857,146.283,,Australia: Queensland: lagoon,10/10/2013,,10/10/2013
Angly et al 2016,TT4,lagoon,-17.857,146.283,,Australia: Queensland: lagoon,18/02/2013,,18/02/2013
Angly et al 2016,TT4,lagoon,-17.857,146.283,,Australia: Queensland: lagoon,10/06/2012,,10/06/2012
Angly et al 2016,TT4,lagoon,-17.857,146.283,,Australia: Queensland: lagoon,22/06/2013,,22/06/2013
Angly et al 2016,TT4,lagoon,-17.857,146.283,,Australia: Queensland: lagoon,10/10/2012,,10/10/2012
Angly et al 2016,TT4,lagoon,-17.857,146.283,,Australia: Queensland: lagoon,5/10/2011,,5/10/2011
Angly et al 2016,TT4,lagoon,-17.857,146.283,,Australia: Queensland: lagoon,14/12/2011,,14/12/2011
Angly et al 2016,TT4,lagoon,-17.857,146.283,,Australia: Queensland: lagoon,14/12/2011,,14/12/2011
Angly et al 2016,TT4,lagoon,-17.857,146.283,,Australia: Queensland: lagoon,24/06/2011,,24/06/2011
Angly et al 2016,TT4,lagoon,-17.857,146.283,,Australia: Queensland: lagoon,18/01/2011,,18/01/2011
Angly et al 2016,TT4,lagoon,-17.857,146.283,,Australia: Queensland: lagoon,12/02/2011,,12/02/2011
Angly et al 2016,TT4,lagoon,-17.857,146.283,,Australia: Queensland: lagoon,13/02/2011,,13/02/2011
Angly et al 2016,TT4,lagoon,-17.857,146.283,,Australia: Queensland: lagoon,17/02/2011,,17/02/2011
Angly et al 2016,TT4,lagoon,-17.857,146.283,,Australia: Queensland: lagoon,21/02/2011,,21/02/2011
Angly et al 2016,TT4,lagoon,-17.857,146.283,,Australia: Queensland: lagoon,17/02/2012,,17/02/2012
Angly et al 2016,TT3,inshore,-17.9245,146.143,,Australia: Queensland: Dunk island,2/01/2011,,2/01/2011
Angly et al 2016,TT3,inshore,-17.9245,146.143,,Australia: Queensland: Dunk island,18/01/2011,,18/01/2011
Angly et al 2016,TT3,inshore,-17.9245,146.143,,Australia: Queensland: Dunk island,12/02/2011,,12/02/2011
Angly et al 2016,TT3,inshore,-17.9245,146.143,,Australia: Queensland: Dunk island,13/02/2011,,13/02/2011
Angly et al 2016,TT3,inshore,-17.9245,146.143,,Australia: Queensland: Dunk island,17/02/2011,,17/02/2011
Angly et al 2016,TT3,inshore,-17.9245,146.143,,Australia: Queensland: Dunk island,21/02/2011,,21/02/2011
Angly et al 2016,TT3,inshore,-17.9245,146.143,,Australia: Queensland: Dunk island,3/03/2011,,3/03/2011
Angly et al 2016,TT3,inshore,-17.9245,146.143,,Australia: Queensland: Dunk island,18/02/2013,,18/02/2013
Angly et al 2016,TT3,inshore,-17.9245,146.143,,Australia: Queensland: Dunk island,17/02/2012,,17/02/2012
Angly et al 2016,TT3,inshore,-17.9245,146.143,,Australia: Queensland: Dunk island,10/10/2013,,10/10/2013
Angly et al 2016,TT3,inshore,-17.9245,146.143,,Australia: Queensland: Dunk island,10/06/2012,,10/06/2012
Angly et al 2016,TT3,inshore,-17.9245,146.143,,Australia: Queensland: Dunk island,22/06/2013,,22/06/2013
